Total Demand,Temperature,Day of week,Year,Month,Day,Time,Public Holiday
7009.91,20.4,Wednesday,2014,1,1,00:00,New Year
6840.01,19.8,Wednesday,2014,1,1,00:30,New Year
6580.75,19.5,Wednesday,2014,1,1,01:00,New Year
6212.79,19.2,Wednesday,2014,1,1,01:30,New Year
5988.92,18.8,Wednesday,2014,1,1,02:00,New Year
5752.86,18.0,Wednesday,2014,1,1,02:30,New Year
5630.41,17.9,Wednesday,2014,1,1,03:00,New Year
5553.19,17.9,Wednesday,2014,1,1,03:30,New Year
5529.09,18.3,Wednesday,2014,1,1,04:00,New Year
5565.83,17.3,Wednesday,2014,1,1,04:30,New Year
5484.19,17.1,Wednesday,2014,1,1,05:00,New Year
5525.1,17.7,Wednesday,2014,1,1,05:30,New Year
5592.28,18.7,Wednesday,2014,1,1,06:00,New Year
5721.54,20.7,Wednesday,2014,1,1,06:30,New Year
5894.01,20.9,Wednesday,2014,1,1,07:00,New Year
6085.46,21.3,Wednesday,2014,1,1,07:30,New Year
6305.44,22.2,Wednesday,2014,1,1,08:00,New Year
6533.38,23.0,Wednesday,2014,1,1,08:30,New Year
6699.19,24.5,Wednesday,2014,1,1,09:00,New Year
6890.0,24.8,Wednesday,2014,1,1,09:30,New Year
6950.86,25.3,Wednesday,2014,1,1,10:00,New Year
6992.74,25.9,Wednesday,2014,1,1,10:30,New Year
7073.98,26.2,Wednesday,2014,1,1,11:00,New Year
7207.9,26.4,Wednesday,2014,1,1,11:30,New Year
7277.21,26.3,Wednesday,2014,1,1,12:00,New Year
7335.66,26.7,Wednesday,2014,1,1,12:30,New Year
7397.04,25.7,Wednesday,2014,1,1,13:00,New Year
7450.04,25.8,Wednesday,2014,1,1,13:30,New Year
7514.89,25.3,Wednesday,2014,1,1,14:00,New Year
7554.21,24.8,Wednesday,2014,1,1,14:30,New Year
7576.42,24.4,Wednesday,2014,1,1,15:00,New Year
7592.57,24.1,Wednesday,2014,1,1,15:30,New Year
7627.29,23.9,Wednesday,2014,1,1,16:00,New Year
7683.62,23.7,Wednesday,2014,1,1,16:30,New Year
7753.16,23.6,Wednesday,2014,1,1,17:00,New Year
7727.26,23.6,Wednesday,2014,1,1,17:30,New Year
7671.31,23.6,Wednesday,2014,1,1,18:00,New Year
7569.79,23.6,Wednesday,2014,1,1,18:30,New Year
7501.48,23.3,Wednesday,2014,1,1,19:00,New Year
7600.76,23.2,Wednesday,2014,1,1,19:30,New Year
7628.05,22.9,Wednesday,2014,1,1,20:00,New Year
7472.89,22.4,Wednesday,2014,1,1,20:30,New Year
7328.43,22.4,Wednesday,2014,1,1,21:00,New Year
7319.01,22.2,Wednesday,2014,1,1,21:30,New Year
7178.02,22.1,Wednesday,2014,1,1,22:00,New Year
7155.88,22.2,Wednesday,2014,1,1,22:30,New Year
6978.81,21.9,Wednesday,2014,1,1,23:00,New Year
6812.06,21.8,Wednesday,2014,1,1,23:30,New Year
6662.73,21.8,Thursday,2014,1,2,00:00,Nil
6468.34,21.4,Thursday,2014,1,2,00:30,Nil
6261.57,21.3,Thursday,2014,1,2,01:00,Nil
5968.8,21.3,Thursday,2014,1,2,01:30,Nil
5779.25,21.0,Thursday,2014,1,2,02:00,Nil
5628.16,21.0,Thursday,2014,1,2,02:30,Nil
5666.42,21.1,Thursday,2014,1,2,03:00,Nil
5679.12,21.0,Thursday,2014,1,2,03:30,Nil
5704.67,21.5,Thursday,2014,1,2,04:00,Nil
5837.21,21.3,Thursday,2014,1,2,04:30,Nil
5943.18,21.2,Thursday,2014,1,2,05:00,Nil
6177.8,21.6,Thursday,2014,1,2,05:30,Nil
6442.13,21.8,Thursday,2014,1,2,06:00,Nil
6719.98,22.6,Thursday,2014,1,2,06:30,Nil
7098.93,24.6,Thursday,2014,1,2,07:00,Nil
7450.78,26.0,Thursday,2014,1,2,07:30,Nil
7798.44,27.1,Thursday,2014,1,2,08:00,Nil
8079.39,28.9,Thursday,2014,1,2,08:30,Nil
8323.89,30.9,Thursday,2014,1,2,09:00,Nil
8625.91,32.5,Thursday,2014,1,2,09:30,Nil
8859.01,33.1,Thursday,2014,1,2,10:00,Nil
9062.05,33.1,Thursday,2014,1,2,10:30,Nil
9196.69,33.9,Thursday,2014,1,2,11:00,Nil
9302.51,34.2,Thursday,2014,1,2,11:30,Nil
