Total Demand,Temperature,Day of week,Year,Month,Day,Time,Public Holiday
5644.98,23.8,Wednesday,2014,1,1,00:00,New Year
5515.63,23.5,Wednesday,2014,1,1,00:30,New Year
5376.3,22.8,Wednesday,2014,1,1,01:00,New Year
5214.38,22.6,Wednesday,2014,1,1,01:30,New Year
5149.08,22.1,Wednesday,2014,1,1,02:00,New Year
5051.84,21.8,Wednesday,2014,1,1,02:30,New Year
4998.26,21.4,Wednesday,2014,1,1,03:00,New Year
4954.62,21.6,Wednesday,2014,1,1,03:30,New Year
4930.19,21.5,Wednesday,2014,1,1,04:00,New Year
4933.35,21.0,Wednesday,2014,1,1,04:30,New Year
4924.31,20.8,Wednesday,2014,1,1,05:00,New Year
4876.17,21.0,Wednesday,2014,1,1,05:30,New Year
4863.19,22.8,Wednesday,2014,1,1,06:00,New Year
4930.26,23.3,Wednesday,2014,1,1,06:30,New Year
5003.89,23.7,Wednesday,2014,1,1,07:00,New Year
5171.49,25.6,Wednesday,2014,1,1,07:30,New Year
5251.87,25.6,Wednesday,2014,1,1,08:00,New Year
5319.53,26.8,Wednesday,2014,1,1,08:30,New Year
5437.67,28.2,Wednesday,2014,1,1,09:00,New Year
5474.16,28.1,Wednesday,2014,1,1,09:30,New Year
5514.12,28.5,Wednesday,2014,1,1,10:00,New Year
5535.89,28.8,Wednesday,2014,1,1,10:30,New Year
5571.47,29.2,Wednesday,2014,1,1,11:00,New Year
5605.24,30.3,Wednesday,2014,1,1,11:30,New Year
5667.79,29.3,Wednesday,2014,1,1,12:00,New Year
5704.61,30.2,Wednesday,2014,1,1,12:30,New Year
5766.22,30.2,Wednesday,2014,1,1,13:00,New Year
5831.48,29.7,Wednesday,2014,1,1,13:30,New Year
5889.61,30.2,Wednesday,2014,1,1,14:00,New Year
5973.96,30.0,Wednesday,2014,1,1,14:30,New Year
6026.49,29.8,Wednesday,2014,1,1,15:00,New Year
6121.2,29.0,Wednesday,2014,1,1,15:30,New Year
6177.79,27.8,Wednesday,2014,1,1,16:00,New Year
6294.69,27.3,Wednesday,2014,1,1,16:30,New Year
6446.81,26.8,Wednesday,2014,1,1,17:00,New Year
6477.66,25.8,Wednesday,2014,1,1,17:30,New Year
6495.08,25.1,Wednesday,2014,1,1,18:00,New Year
6405.75,24.4,Wednesday,2014,1,1,18:30,New Year
6389.23,23.8,Wednesday,2014,1,1,19:00,New Year
6472.05,23.3,Wednesday,2014,1,1,19:30,New Year
6447.09,23.7,Wednesday,2014,1,1,20:00,New Year
6324.34,23.5,Wednesday,2014,1,1,20:30,New Year
6238.0,23.1,Wednesday,2014,1,1,21:00,New Year
6263.67,22.9,Wednesday,2014,1,1,21:30,New Year
6154.7,22.8,Wednesday,2014,1,1,22:00,New Year
