Total Demand,Temperature,Day of week,Year,Month,Day,Time,Public Holiday
1683.53,31.4,Wednesday,2014,1,1,00:00,New Year
1528.27,31.3,Wednesday,2014,1,1,00:30,New Year
1433.97,31.4,Wednesday,2014,1,1,01:00,New Year
1351.01,31.7,Wednesday,2014,1,1,01:30,New Year
1296.55,31.1,Wednesday,2014,1,1,02:00,New Year
1248.8,32.1,Wednesday,2014,1,1,02:30,New Year
1231.4,32.4,Wednesday,2014,1,1,03:00,New Year
1206.41,32.5,Wednesday,2014,1,1,03:30,New Year
1201.73,32.2,Wednesday,2014,1,1,04:00,New Year
1223.61,32.1,Wednesday,2014,1,1,04:30,New Year
1210.71,32.4,Wednesday,2014,1,1,05:00,New Year
1261.83,31.8,Wednesday,2014,1,1,05:30,New Year
1267.69,31.2,Wednesday,2014,1,1,06:00,New Year
1294.56,30.0,Wednesday,2014,1,1,06:30,New Year
1264.91,30.2,Wednesday,2014,1,1,07:00,New Year
1305.32,29.5,Wednesday,2014,1,1,07:30,New Year
1350.16,29.5,Wednesday,2014,1,1,08:00,New Year
1409.67,29.8,Wednesday,2014,1,1,08:30,New Year
1444.9,30.9,Wednesday,2014,1,1,09:00,New Year
1501.46,31.8,Wednesday,2014,1,1,09:30,New Year
1555.45,31.9,Wednesday,2014,1,1,10:00,New Year
1567.1,31.8,Wednesday,2014,1,1,10:30,New Year
1610.87,31.5,Wednesday,2014,1,1,11:00,New Year
1595.76,31.0,Wednesday,2014,1,1,11:30,New Year
1647.22,30.4,Wednesday,2014,1,1,12:00,New Year
1628.54,30.7,Wednesday,2014,1,1,12:30,New Year
1593.68,32.1,Wednesday,2014,1,1,13:00,New Year
1642.19,30.5,Wednesday,2014,1,1,13:30,New Year
1641.32,29.6,Wednesday,2014,1,1,14:00,New Year
1538.66,29.7,Wednesday,2014,1,1,14:30,New Year
1601.25,28.4,Wednesday,2014,1,1,15:00,New Year
1632.57,29.0,Wednesday,2014,1,1,15:30,New Year
1649.45,28.9,Wednesday,2014,1,1,16:00,New Year
1695.75,27.4,Wednesday,2014,1,1,16:30,New Year
1718.34,26.1,Wednesday,2014,1,1,17:00,New Year
1697.99,24.0,Wednesday,2014,1,1,17:30,New Year
1690.32,23.4,Wednesday,2014,1,1,18:00,New Year
1649.17,22.9,Wednesday,2014,1,1,18:30,New Year
1623.1,22.1,Wednesday,2014,1,1,19:00,New Year
1599.18,22.2,Wednesday,2014,1,1,19:30,New Year
1583.0,21.6,Wednesday,2014,1,1,20:00,New Year
1587.76,20.9,Wednesday,2014,1,1,20:30,New Year
1607.07,20.8,Wednesday,2014,1,1,21:00,New Year
1543.72,20.5,Wednesday,2014,1,1,21:30,New Year
1467.23,20.5,Wednesday,2014,1,1,22:00,New Year
1375.0,20.6,Wednesday,2014,1,1,22:30,New Year
1363.9,20.8,Wednesday,2014,1,1,23:00,New Year
1356.51,20.2,Wednesday,2014,1,1,23:30,New Year
1552.4,20.0,Thursday,2014,1,2,00:00,Nil
1412.57,20.1,Thursday,2014,1,2,00:30,Nil
1317.55,20.2,Thursday,2014,1,2,01:00,Nil
1232.04,20.3,Thursday,2014,1,2,01:30,Nil
1208.14,20.3,Thursday,2014,1,2,02:00,Nil
1161.56,20.4,Thursday,2014,1,2,02:30,Nil
1131.0,19.8,Thursday,2014,1,2,03:00,Nil
1113.16,18.5,Thursday,2014,1,2,03:30,Nil
1079.11,18.1,Thursday,2014,1,2,04:00,Nil
1109.32,18.0,Thursday,2014,1,2,04:30,Nil
1114.6,18.4,Thursday,2014,1,2,05:00,Nil
1201.04,18.5,Thursday,2014,1,2,05:30,Nil
1262.73,17.4,Thursday,2014,1,2,06:00,Nil
1268.72,17.0,Thursday,2014,1,2,06:30,Nil
1301.04,17.2,Thursday,2014,1,2,07:00,Nil
1318.14,17.8,Thursday,2014,1,2,07:30,Nil
1344.35,17.8,Thursday,2014,1,2,08:00,Nil
1348.65,17.8,Thursday,2014,1,2,08:30,Nil
1399.66,17.9,Thursday,2014,1,2,09:00,Nil
