Total Demand,Temperature,Day of week,Year,Month,Day,Time,Public Holiday
934.89,13.8,Wednesday,2014,1,1,00:00,New Year
928.28,13.1,Wednesday,2014,1,1,00:30,New Year
935.22,12.4,Wednesday,2014,1,1,01:00,New Year
911.27,11.8,Wednesday,2014,1,1,01:30,New Year
891.38,11.3,Wednesday,2014,1,1,02:00,New Year
860.6,11.2,Wednesday,2014,1,1,02:30,New Year
856.15,11.0,Wednesday,2014,1,1,03:00,New Year
849.88,11.2,Wednesday,2014,1,1,03:30,New Year
853.45,10.6,Wednesday,2014,1,1,04:00,New Year
847.67,10.7,Wednesday,2014,1,1,04:30,New Year
846.62,11.5,Wednesday,2014,1,1,05:00,New Year
848.38,12.0,Wednesday,2014,1,1,05:30,New Year
851.65,11.9,Wednesday,2014,1,1,06:00,New Year
874.36,11.9,Wednesday,2014,1,1,06:30,New Year
915.43,11.9,Wednesday,2014,1,1,07:00,New Year
945.4,12.2,Wednesday,2014,1,1,07:30,New Year
967.22,12.3,Wednesday,2014,1,1,08:00,New Year
1000.49,12.4,Wednesday,2014,1,1,08:30,New Year
1007.24,12.9,Wednesday,2014,1,1,09:00,New Year
1030.67,14.0,Wednesday,2014,1,1,09:30,New Year
1020.42,13.7,Wednesday,2014,1,1,10:00,New Year
996.64,13.2,Wednesday,2014,1,1,10:30,New Year
1004.87,13.4,Wednesday,2014,1,1,11:00,New Year
1002.44,13.9,Wednesday,2014,1,1,11:30,New Year
982.07,14.5,Wednesday,2014,1,1,12:00,New Year
961.41,16.4,Wednesday,2014,1,1,12:30,New Year
963.8,16.6,Wednesday,2014,1,1,13:00,New Year
946.33,18.2,Wednesday,2014,1,1,13:30,New Year
935.61,20.7,Wednesday,2014,1,1,14:00,New Year
985.23,20.2,Wednesday,2014,1,1,14:30,New Year
984.7,21.3,Wednesday,2014,1,1,15:00,New Year
984.26,22.2,Wednesday,2014,1,1,15:30,New Year
1000.1,21.8,Wednesday,2014,1,1,16:00,New Year
1014.5,22.6,Wednesday,2014,1,1,16:30,New Year
1004.49,22.1,Wednesday,2014,1,1,17:00,New Year
1005.39,21.7,Wednesday,2014,1,1,17:30,New Year
988.56,21.6,Wednesday,2014,1,1,18:00,New Year
983.01,21.3,Wednesday,2014,1,1,18:30,New Year
977.91,20.9,Wednesday,2014,1,1,19:00,New Year
961.4,20.5,Wednesday,2014,1,1,19:30,New Year
954.24,20.0,Wednesday,2014,1,1,20:00,New Year
945.59,20.1,Wednesday,2014,1,1,20:30,New Year
933.88,19.0,Wednesday,2014,1,1,21:00,New Year
905.51,17.4,Wednesday,2014,1,1,21:30,New Year
867.44,16.7,Wednesday,2014,1,1,22:00,New Year
845.74,16.0,Wednesday,2014,1,1,22:30,New Year
814.78,15.2,Wednesday,2014,1,1,23:00,New Year
811.3,15.1,Wednesday,2014,1,1,23:30,New Year
801.06,14.8,Thursday,2014,1,2,00:00,Nil
790.34,14.9,Thursday,2014,1,2,00:30,Nil
784.32,14.6,Thursday,2014,1,2,01:00,Nil
778.19,14.9,Thursday,2014,1,2,01:30,Nil
772.8,14.7,Thursday,2014,1,2,02:00,Nil
770.96,14.9,Thursday,2014,1,2,02:30,Nil
774.44,14.8,Thursday,2014,1,2,03:00,Nil
776.88,15.4,Thursday,2014,1,2,03:30,Nil
785.51,15.5,Thursday,2014,1,2,04:00,Nil
793.72,15.4,Thursday,2014,1,2,04:30,Nil
802.71,15.6,Thursday,2014,1,2,05:00,Nil
831.04,16.1,Thursday,2014,1,2,05:30,Nil
858.99,16.2,Thursday,2014,1,2,06:00,Nil
900.17,17.0,Thursday,2014,1,2,06:30,Nil
929.84,17.7,Thursday,2014,1,2,07:00,Nil
938.59,18.2,Thursday,2014,1,2,07:30,Nil
949.44,18.8,Thursday,2014,1,2,08:00,Nil
936.42,19.1,Thursday,2014,1,2,08:30,Nil
909.6,19.1,Thursday,2014,1,2,09:00,Nil
914.16,19.2,Thursday,2014,1,2,09:30,Nil
914.06,19.0,Thursday,2014,1,2,10:00,Nil
893.77,18.9,Thursday,2014,1,2,10:30,Nil
884.27,18.9,Thursday,2014,1,2,11:00,Nil
863.32,18.6,Thursday,2014,1,2,11:30,Nil
891.18,19.2,Thursday,2014,1,2,12:00,Nil
876.15,19.8,Thursday,2014,1,2,12:30,Nil
880.4,19.4,Thursday,2014,1,2,13:00,Nil
900.95,19.4,Thursday,2014,1,2,13:30,Nil
913.6,19.5,Thursday,2014,1,2,14:00,Nil
922.92,18.8,Thursday,2014,1,2,14:30,Nil
921.31,19.1,Thursday,2014,1,2,15:00,Nil
928.89,18.5,Thursday,2014,1,2,15:30,Nil
952.83,17.7,Thursday,2014,1,2,16:00,Nil
967.21,18.1,Thursday,2014,1,2,16:30,Nil
985.57,17.9,Thursday,2014,1,2,17:00,Nil
993.33,17.6,Thursday,2014,1,2,17:30,Nil
1002.43,16.5,Thursday,2014,1,2,18:00,Nil
1008.23,16.0,Thursday,2014,1,2,18:30,Nil
1011.19,15.7,Thursday,2014,1,2,19:00,Nil
1028.06,15.2,Thursday,2014,1,2,19:30,Nil
1043.45,14.8,Thursday,2014,1,2,20:00,Nil
1051.73,14.2,Thursday,2014,1,2,20:30,Nil
1048.59,13.8,Thursday,2014,1,2,21:00,Nil
1035.98,13.3,Thursday,2014,1,2,21:30,Nil
996.17,12.6,Thursday,2014,1,2,22:00,Nil
983.47,12.7,Thursday,2014,1,2,22:30,Nil
966.5,11.2,Thursday,2014,1,2,23:00,Nil
958.29,10.9,Thursday,2014,1,2,23:30,Nil
942.05,10.5,Friday,2014,1,3,00:00,Nil
934.59,10.4,Friday,2014,1,3,00:30,Nil
921.48,10.4,Friday,2014,1,3,01:00,Nil
920.85,10.6,Friday,2014,1,3,01:30,Nil
921.23,10.5,Friday,2014,1,3,02:00,Nil
918.74,9.9,Friday,2014,1,3,02:30,Nil
919.75,9.7,Friday,2014,1,3,03:00,Nil
920.49,9.6,Friday,2014,1,3,03:30,Nil
926.23,9.2,Friday,2014,1,3,04:00,Nil
936.18,9.0,Friday,2014,1,3,04:30,Nil
944.04,9.2,Friday,2014,1,3,05:00,Nil
968.97,10.4,Friday,2014,1,3,05:30,Nil
988.48,11.5,Friday,2014,1,3,06:00,Nil
1034.7,12.2,Friday,2014,1,3,06:30,Nil
1072.34,13.6,Friday,2014,1,3,07:00,Nil
1075.13,14.5,Friday,2014,1,3,07:30,Nil
1102.62,15.3,Friday,2014,1,3,08:00,Nil
1106.55,16.3,Friday,2014,1,3,08:30,Nil
1103.91,17.2,Friday,2014,1,3,09:00,Nil
1093.23,17.5,Friday,2014,1,3,09:30,Nil
1046.7,18.3,Friday,2014,1,3,10:00,Nil
1030.38,19.2,Friday,2014,1,3,10:30,Nil
1013.03,20.2,Friday,2014,1,3,11:00,Nil
