Total Demand,Temperature,Day of week,Year,Month,Day,Time,Public Holiday
4993.52,13.9,Wednesday,2014,1,1,00:00,New Year
4656.03,13.8,Wednesday,2014,1,1,00:30,New Year
4373.04,14.6,Wednesday,2014,1,1,01:00,New Year
4175.32,15.4,Wednesday,2014,1,1,01:30,New Year
4003.35,18.1,Wednesday,2014,1,1,02:00,New Year
3841.74,16.8,Wednesday,2014,1,1,02:30,New Year
3711.1,18.0,Wednesday,2014,1,1,03:00,New Year
3639.31,18.7,Wednesday,2014,1,1,03:30,New Year
3576.27,18.6,Wednesday,2014,1,1,04:00,New Year
3591.05,19.3,Wednesday,2014,1,1,04:30,New Year
3606.73,20.1,Wednesday,2014,1,1,05:00,New Year
3616.21,20.8,Wednesday,2014,1,1,05:30,New Year
3641.2,21.7,Wednesday,2014,1,1,06:00,New Year
3759.78,21.9,Wednesday,2014,1,1,06:30,New Year
3850.59,22.0,Wednesday,2014,1,1,07:00,New Year
3883.11,22.6,Wednesday,2014,1,1,07:30,New Year
4037.1,21.7,Wednesday,2014,1,1,08:00,New Year
4075.31,21.8,Wednesday,2014,1,1,08:30,New Year
4163.49,22.7,Wednesday,2014,1,1,09:00,New Year
4222.86,22.8,Wednesday,2014,1,1,09:30,New Year
4299.33,22.5,Wednesday,2014,1,1,10:00,New Year
4335.77,24.1,Wednesday,2014,1,1,10:30,New Year
4394.16,24.3,Wednesday,2014,1,1,11:00,New Year
4495.13,24.5,Wednesday,2014,1,1,11:30,New Year
4497.75,25.0,Wednesday,2014,1,1,12:00,New Year
4420.02,24.4,Wednesday,2014,1,1,12:30,New Year
4404.83,22.4,Wednesday,2014,1,1,13:00,New Year
4417.65,23.3,Wednesday,2014,1,1,13:30,New Year
4439.53,23.0,Wednesday,2014,1,1,14:00,New Year
4474.24,20.4,Wednesday,2014,1,1,14:30,New Year
4461.05,20.2,Wednesday,2014,1,1,15:00,New Year
4478.89,23.0,Wednesday,2014,1,1,15:30,New Year
4574.86,23.9,Wednesday,2014,1,1,16:00,New Year
4643.53,23.2,Wednesday,2014,1,1,16:30,New Year
4791.69,23.0,Wednesday,2014,1,1,17:00,New Year
4821.54,22.2,Wednesday,2014,1,1,17:30,New Year
4769.88,22.7,Wednesday,2014,1,1,18:00,New Year
4658.25,22.4,Wednesday,2014,1,1,18:30,New Year
4633.15,21.7,Wednesday,2014,1,1,19:00,New Year
4610.65,21.3,Wednesday,2014,1,1,19:30,New Year
4731.78,20.6,Wednesday,2014,1,1,20:00,New Year
4678.67,20.4,Wednesday,2014,1,1,21:00,New Year
4518.4,20.4,Wednesday,2014,1,1,21:30,New Year
4322.05,20.3,Wednesday,2014,1,1,22:00,New Year
4275.68,19.7,Wednesday,2014,1,1,22:30,New Year
4366.34,18.2,Wednesday,2014,1,1,23:00,New Year
4782.16,18.0,Wednesday,2014,1,1,23:30,New Year
4888.32,17.3,Thursday,2014,1,2,00:00,Nil
4597.07,16.7,Thursday,2014,1,2,00:30,Nil
4320.07,16.0,Thursday,2014,1,2,01:00,Nil
4140.04,15.5,Thursday,2014,1,2,01:30,Nil
4032.88,14.8,Thursday,2014,1,2,02:00,Nil
3957.86,14.5,Thursday,2014,1,2,02:30,Nil
3869.57,14.1,Thursday,2014,1,2,03:00,Nil
3854.26,13.7,Thursday,2014,1,2,03:30,Nil
3844.01,12.9,Thursday,2014,1,2,04:00,Nil
3910.72,12.7,Thursday,2014,1,2,04:30,Nil
3957.56,12.6,Thursday,2014,1,2,05:00,Nil
4093.86,13.0,Thursday,2014,1,2,05:30,Nil
